alpha,beta,theta,delta,gamma,result
-2.9116320665147324,1.7183316356215759,16.1944417986694,-7.4981013648549295,13.430225049246985,5
-2.9116320665147324,1.7183316356215759,16.1944417986694,-7.4981013648549295,13.430225049246985,5
19.174550000903974,27.21895628247219,21.935630574318665,14.174325688403055,15.734274941844491,5
19.174550000903974,27.21895628247219,21.935630574318665,14.174325688403055,15.734274941844491,5
19.149281862086983,25.286608074205365,20.738294381094708,11.616845378445362,15.644718603251262,5
19.149281862086983,25.286608074205365,20.738294381094708,11.616845378445362,15.644718603251262,5
19.149281862086983,25.286608074205365,20.738294381094708,11.616845378445362,15.644718603251262,5
16.289694167602462,3.4717719081733738,32.980817410462514,-0.3370265768778379,35.045055316428666,5
11.86262306196409,1.4029652637832823,31.2002358313974,-6.612112540914862,32.525029376576434,5
11.86262306196409,1.4029652637832823,31.2002358313974,-6.612112540914862,32.525029376576434,5
7.125220424365632,6.48994332488596,7.120791809529478,3.2181713976255515,3.9699333255263305,5
2.1646472044941834,3.9322424521124555,5.202456622148442,-4.324511893186267,4.267412202332032,5
12.620950803257324,12.322961765560846,8.595332102143741,5.984983384569141,4.871333697798563,5
17.15914129536003,11.998246355258917,8.484357315764383,13.668198645221366,5.724445039867851,5
19.420180691677007,21.823173810092054,9.682977488668424,19.71605525504859,4.149288516415392,5
19.420180691677007,21.823173810092054,9.682977488668424,19.71605525504859,4.149288516415392,5
19.420180691677007,21.823173810092054,9.682977488668424,19.71605525504859,4.149288516415392,5
19.420180691677007,21.823173810092054,9.682977488668424,19.71605525504859,4.149288516415392,5
19.420180691677007,21.823173810092054,9.682977488668424,19.71605525504859,4.149288516415392,5
19.420180691677007,21.823173810092054,9.682977488668424,19.71605525504859,4.149288516415392,5
19.420180691677007,21.823173810092054,9.682977488668424,19.71605525504859,4.149288516415392,5
11.532724224094231,29.487218476078315,24.35593301971359,16.537329704515425,21.436505218960374,5
16.613412581249197,2.378468631268321,6.93811193038729,4.5315782859955664,1.2877629402659452,5
16.787344691594395,5.671382407322228,7.903605221606991,5.022563363488193,6.414439324868355,5
4.644398623980503,2.6487391940239617,9.555191551630138,-1.8059749921991781,10.926421189762957,5
4.644398623980503,2.6487391940239617,9.555191551630138,-1.8059749921991781,10.926421189762957,5
18.66861437065214,18.497063312630313,12.21242868305889,1.2992406082871222,7.892387744621149,5
18.66861437065214,17.464351632008814,12.362187173432561,3.312280771198571,8.923694178501144,5
